Tipo;No_Licencia;No_Registro;NombreComercial;EmpresaImportadora;FechaEmision;UMedida;Cantidad;PaisProcedencia;PaisOrigen;AduanadeIngreso; CIF_dolares ; CIF_Q ; TimbresQ ;Exportador;Concentraciones;Componentes;VENTANILLA
PERMISOS;VIAG-32346-2026;_752-210-4;HALOFOR 75 WG;AGROFORTRESS, SOCIEDAD ANONIMA;20/01/2026;KILOGRAMOS;125;CHINA;CHINA;PUERTO QUETZAL; $7,243.75 ; Q55,502.34 ; Q162.00 ;TAHUAL AGRICOLA, S.A. - China                                             ;75% ;HALOSULFURON-METHYL;VAI
PERMISOS;VIAG-32347-2026;136-9;N-LARGE 3.20 SL;QUIMICAS STOLLER DE CENTROAMERICA SOCIEDAD ANONIMA;20/01/2026;LITROS;8320;ESTADOS UNIDOS DE AMERICA;ESTADOS UNIDOS DE AMERICA;SANTO TOMAS DE CASTILLA; $109,349.72 ; Q835.17 ; Q1,070.00 ;Stoller Enterprises, Inc. - Estados Unidos                                    ;3.2% ;ACIDOGIBERELICO;VAI
PERMISOS;VIAG-32348-2026;136-8;STIMULATE YIELD ENHANCER 0,019 SL;QUIMICAS STOLLER DE CENTROAMERICA SOCIEDAD ANONIMA;20/01/2026;LITROS;8320;ESTADOS UNIDOS DE AMERICA;ESTADOS UNIDOS DE AMERICA;SANTO TOMAS DE CASTILLA; $135,233.13 ; Q1,034.38 ; Q1,234.00 ;Stoller Enterprices, Inc. - Estados Unidos                                    ;0.0052% + 0.0052% + 0.0094% ;AcidoGiberelico, AcidoIndolButirico, Citocininas;VAI
PERMISOS;VIAG-32349-2026;_724-24-44;ABAMECTIN  1.8 EC;MAXIAGRO, SOCIEDAD ANONIMA;20/01/2026;LITROS;1008;CHINA;CHINA;PUERTO QUETZAL; $14,565.60 ; Q111,628.72 ; Q342.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;1.8% ;Abamectin;VAI
PERMISOS;VIAG-32350-2026;_724-24-44;ABAMECTIN  1.8 EC;MAXIAGRO, SOCIEDAD ANONIMA;20/01/2026;LITROS;408;CHINA;CHINA;PUERTO QUETZAL; $6,201.60 ; Q47,528.19 ; Q146.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;1.8% ;Abamectin;VAI
PERMISOS;VIAG-32351-2026;_724-72A-21;MAXFOS  48 EC;MAXIAGRO, SOCIEDAD ANONIMA;20/01/2026;LITROS;1152;CHINA;CHINA;PUERTO QUETZAL; $6,808.32 ; Q52,178.01 ; Q155.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;48% ;Chlorpyrifos;VAI
PERMISOS;VIAG-32352-2026;_752-157-10;FORZA 60 WP;AGROFORTRESS, SOCIEDAD ANONIMA;20/01/2026;KILOGRAMOS;1020;CHINA;CHINA;PUERTO QUETZAL; $13,453.80 ; Q103,084.36 ; Q334.00 ;TAHUAL AGRICOLA, S.A. - China                                             ;60% ;Metsulfuron-Methyl;VAI
PERMISOS;VIAG-32353-2026;724-107;FIPROMAX / FIPROGOLD 20 SC;RAINBOW AGROSCIENCES (GUATEMALA) SOCIEDAD ANONIMA;20/01/2026;LITROS;576;CHINA;CHINA;PUERTO QUETZAL; $9,308.16 ; Q71,321.99 ; Q1,845.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;20% ;Fipronil;VAI
PERMISOS;VIAG-32354-2026;724-283;RADAR 68.75 SC;RAINBOW AGROSCIENCES (GUATEMALA) SOCIEDAD ANONIMA;20/01/2026;LITROS;1008;CHINA;CHINA;PUERTO QUETZAL; $16,712.64 ; Q128,054.70 ; Q2,414.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;62.5% + 6.25% ;Fluopicolide, PropamocarbHydrocloride;VAI
PERMISOS;VIAG-32355-2026;_752-336-1;OPRESOR 50 SP;AGROFORTRESS, SOCIEDAD ANONIMA;20/01/2026;KILOGRAMOS;500;CHINA;CHINA;PUERTO QUETZAL; $7,890.00 ; Q60,453.97 ; Q172.00 ;TAHUAL AGRICOLA, S.A. - China                                             ;50% ;Thiocyclam(FormaÁcida)/ThiocyclamHidrogenOxalate50%;VAI
