Tipo;No_Licencia;No_Registro;NombreComercial;EmpresaImportadora;FechaEmision;UMedida;Cantidad;PaisProcedencia;PaisOrigen;AduanadeIngreso; CIF_dolares ; CIF_Q ; TimbresQ ;Exportador;Concentraciones;Componentes;VENTANILLA
LICENCIAS;619-26    ;789-SAF-614-104;KAMAFRUT;SERVICIOS PARA EL AGRO, SERVIAGRO                                                                                                                     ;27/05/2026;Kilogramos;18;Honduras                                          ;Honduras                                          ;El Florido                                        ; $997.30 ; Q7,601.26 ; Q40.00 ;Intrakam S. DE R.L.; 12.79, 20.00;Acidos Humicos, K2O;MAGA
LICENCIAS;620-26    ;1002-F-6589-57;CHAMPION 13-2-44;SEMILLAS E INSUMOS AGROPECUARIOS, S.A                                                                                                                 ;27/05/2026;Kilogramos;10487.4;México                                            ;México                                            ;Tecún Umán                                        ; $13,805.61 ; Q105,194.61 ; Q340.00 ;SQM Comercial de México S.A. de C.V.; 13.30, 2.40, 44.10;N, P2O5, K2O;MAGA
LICENCIAS;621-26    ;1002-F-6590-57;CHAMPION BALANCE;SEMILLAS E INSUMOS AGROPECUARIOS, S.A                                                                                                                 ;27/05/2026;Kilogramos;8739.5;México                                            ;México                                            ;Tecún Umán                                        ; $12,208.03 ; Q93,021.53 ; Q230.00 ;SQM Comercial de México S.A. de C.V.; 20.20, 20.30, 20.30, 0.40, 0.01, 0.01, 0.01, 0.01, 0.05, 0.01;P2O5, K2O, N, S, B, Mn EDTA, Mo, Zn EDTA, Fe EDTA, Cu EDTA;MAGA
LICENCIAS;622-26    ;_1244-F-5432-105-1;NK 13-0-44 + 1.65% MgO;La Corneta, S. A.                                                                                                                                     ;27/05/2026;Kilogramos;44000;Jordania                                          ;Jordania                                          ;Puerto Quetzal                                    ; $49,060.00 ; Q373,889.20 ; Q605.00 ;Kemapco Arab Fertilizers & Chemicals Industries LTD.; 1.65, 1.30, 43.70, 13.00;MgO, S, K2O, N;MAGA
LICENCIAS;623-26    ;922-SAF-578-21;ÁCIDOS HÚMICOS;EXPORTADORA ENLASA, S.A                                                                                                                               ;28/05/2026;Kilogramos;225;China                                             ;China                                             ;Express Aéreo                                     ; $7,200.00 ; Q54,882.72 ; Q160.00 ;Chengdu Agreenco Bio Tecch Co., LTD; 70.00;Acidos Humicos;MAGA
LICENCIAS;624-26    ;922-SAF-578-21;ÁCIDOS HÚMICOS;EXPORTADORA ENLASA, S.A                                                                                                                               ;28/05/2026;Kilogramos;650;China                                             ;China                                             ;Express Aéreo                                     ; $87,425.00 ; Q666,339.36 ; Q900.00 ;Chengdu Agreenco Bio Tecch Co., LTD; 70.00;Acidos Humicos;MAGA
LICENCIAS;625-26    ;_1441-F-5570-28-1;AVAN KRYSTAL 13-40-13;AVANCES AGRICOLAS DE GUATEMALA, S.A                                                                                                                   ;28/05/2026;Kilogramos;7000;España                                            ;España                                            ;Puerto Barrios                                    ; $13,355.71 ; Q101,784.67 ; Q335.00 ;AVAN EUROPE S.L.; 13.00, 40.00, 13.00, 0.85, 0.01, 0.01, 0.03, 0.01, 0.01;N, P2O5, K2O, S, B, Cu (EDTA), Fe (EDTA), Mn (EDTA), Zn (EDTA);MAGA
LICENCIAS;626-26    ;_1441-F-5569-28-1;AVAN KRYSTAL 11-46;AVANCES AGRICOLAS DE GUATEMALA, S.A                                                                                                                   ;28/05/2026;Kilogramos;18000;España                                            ;España                                            ;Puerto Barrios                                    ; $22,623.23 ; Q172,412.99 ; Q405.00 ;AVAN EUROPE S.L.; 0.01, 0.01, 0.03, 0.01, 0.01, 0.05, 11.00, 46.00;B, Cu (EDTA), Fe (EDTA), Mn (EDTA), Zn (EDTA), S, N, K2O;MAGA
LICENCIAS;627-26    ;_684-F-5687-17-2;TRIADAMIN;AGROES, S.A                                                                                                                                           ;28/05/2026;Litros    ;2608;Colombia                                          ;Colombia                                          ;Puerto Quetzal                                    ; $14,185.92 ; Q111,359.47 ; Q340.00 ;Triada Ema S.A.; 0.66, 4.83, 6.40, 0.42, 0.92, 1.24, 0.04, 0.28, 0.38, 0.08, 0.02, 0.35, 5.56, 15.95;MgO (EDTA), P2O5, K2O, CaO EDTA, S, B, Co EDTA, Cu (EDTA), Fe (EDTA), Mn (EDTA), Mo, Zn (EDTA), COOT, Aminoacidos;MAGA
LICENCIAS;628-26    ;_684-F-6401-17-1;TRIADA-FOLIAR 0-32-43;AGROES, S.A                                                                                                                                           ;28/05/2026;Kilogramos;1008;Colombia                                          ;Colombia                                          ;Puerto Quetzal                                    ; $6,048.00 ; Q47,476.80 ; Q145.00 ;Triada Ema S.A.; 0.22, 0.01, 0.10, 0.00, 32.00, 43.00, 0.25, 0.10, 0.27, 1.00, 0.02, 0.21, 0.28;B, Co, Cu, N, P2O5, K2O, Fe, Mn, CaO, S, Mo, Zn, MgO;MAGA
LICENCIAS;629-26    ;_684-F-5675-17-1;SOLUTEC INICIO 13-36-12;AGROES, S.A                                                                                                                                           ;28/05/2026;Kilogramos;15000;Colombia                                          ;Colombia                                          ;Puerto Quetzal                                    ; $27,600.00 ; Q216,660.00 ; Q440.00 ;Triada Ema S.A.; 13.00, 36.00, 12.00, 0.35, 0.03, 0.03, 0.02, 0.03, 0.03, 5.00;N, P2O5, K2O, S, B, Fe (EDTA), Mn EDTA, Mo, Zn (EDTA), COOT;MAGA
LICENCIAS;630-26    ;_684-F-7757-17-1;TRIADA-QUEL Balance de Menores;AGROES, S.A                                                                                                                                           ;28/05/2026;Kilogramos;2004;Colombia                                          ;Colombia                                          ;Puerto Quetzal                                    ; $15,631.20 ; Q122,704.92 ; Q350.00 ;Triada Ema S.A.; 0.01, 0.08, 0.91, 2.80, 3.60, 3.90, 0.91, 0.28, 0.07, 0.91;Co EDTA, Cu EDTA, Fe EDTA, CaO EDTA, MgO EDTA, S, B, Mn EDTA, Mo, Zn EDTA;MAGA
LICENCIAS;631-26    ;_684-F-6428-17-1;TRIADA-QUEL BORO;AGROES, S.A                                                                                                                                           ;28/05/2026;Kilogramos;708;Colombia                                          ;Colombia                                          ;Puerto Quetzal                                    ; $3,426.72 ; Q26,899.75 ; Q105.00 ;Triada Ema S.A.; 20.50;B;MAGA
LICENCIAS;632-26    ;_684-F-6903-17-1;TRIADA-QUEL EDTA-Ca;AGROES, S.A                                                                                                                                           ;28/05/2026;Kilogramos;1304;Colombia                                          ;Colombia                                          ;Puerto Quetzal                                    ; $8,848.00 ; Q69,456.80 ; Q190.00 ;Triada Ema S.A.; 10.00;CaO;MAGA
LICENCIAS;633-26    ;_684-F-8062-17-1;COSMO-QUEL EDTA-Mg;AGROES, S.A                                                                                                                                           ;28/05/2026;Kilogramos;204;Colombia                                          ;Colombia                                          ;Puerto Quetzal                                    ; $1,428.00 ; Q11,209.80 ; Q75.00 ;Triada Ema S.A.; 9.00;MgO;MAGA
LICENCIAS;634-26    ;_684-F-5696-17-2;TRIADA-FOLIAR 18-28-8;AGROES, S.A                                                                                                                                           ;28/05/2026;Kilogramos;504;Colombia                                          ;Colombia                                          ;Puerto Quetzal                                    ; $2,872.80 ; Q22,551.48 ; Q95.00 ;Triada Ema S.A.; 18.00, 28.00, 8.00, 0.28, 0.26, 0.12, 0.30, 0.26, 0.36, 1.00, 0.10, 0.01, 0.02;N, P2O5, K2O, CaO EDTA, B, Cu (EDTA), Fe (EDTA), Zn (EDTA), MgO (EDTA), S, Mn EDTA, Co EDTA, Mo;MAGA
LICENCIAS;635-26    ;_684-F-5677-17-2;CIPLEX;AGROES, S.A                                                                                                                                           ;28/05/2026;Litros    ;1720;Colombia                                          ;Colombia                                          ;Puerto Quetzal                                    ; $13,303.60 ; Q104,433.26 ; Q335.00 ;Triada Ema S.A.; 1.50, 0.02, 0.03, 0.20, 0.15, 6.00, 1.56, 0.70, 5.10;N, Mn (EDTA), Zn EDTA, B, MgO (EDTA), COOT, S, CaO EDTA, K2O;MAGA
LICENCIAS;636-26    ;_684-F-5679-17-1;COSMO-MADURADOR 0-25-34 + BORO Y ZINC;AGROES, S.A                                                                                                                                           ;28/05/2026;Kilogramos;804;Colombia                                          ;Colombia                                          ;Puerto Quetzal                                    ; $4,824.00 ; Q37,868.40 ; Q210.00 ;Triada Ema S.A.; 25.00, 34.00, 4.20, 1.00;P2O5, K2O, B, Zn (EDTA);MAGA
LICENCIAS;637-26    ;_684-F-5678-17-2;RADIFLEX;AGROES, S.A                                                                                                                                           ;28/05/2026;Litros    ;1304;Colombia                                          ;Colombia                                          ;Puerto Quetzal                                    ; $10,212.00 ; Q80,164.20 ; Q210.00 ;Triada Ema, S.A.; 1.60, 1.50, 0.55, 0.03, 0.11, 0.26, 0.00, 0.05, 0.10, 0.03, 0.00, 0.16, 4.70;N, P2O5, CaO EDTA, MgO Quelatado, S, B, Co EDTA, Cu EDTA, Fe EDTA, Mn EDTA, Mo, Zn EDTA, COOT;MAGA
LICENCIAS;638-26    ;_684-F-5676-17-1;SOLUTEC DESARROLLO 20-5-10;AGROES, S.A                                                                                                                                           ;28/05/2026;Kilogramos;15000;Colombia                                          ;Colombia                                          ;Puerto Quetzal                                    ; $25,800.00 ; Q202,530.00 ; Q430.00 ;Triada Ema, S.A.; 10.00, 7.00, 0.04, 0.09, 0.03, 0.03, 0.02, 11.03, 20.00, 5.00;K2O, S, B, Fe (EDTA), Mn (EDTA), Mo, Zn (EDTA), COOT, N, P2O5;MAGA
LICENCIAS;639-26    ;352-F-6736-33;YaraRega 13-4-25;YARA GUATEMALA, S.A                                                                                                                                   ;29/05/2026;Kilogramos;49100;Finlandia                                         ;Finlandia                                         ;Puerto Quetzal                                    ; $37,012.46 ; Q282,131.18 ; Q515.00 ;Yara Sourcing And Trade AS; 0.08, 0.08, 10.80, 0.60, 25.00, 4.00, 13.00;Zn, B, S, MgO, K2O, P2O5, N;MAGA
LICENCIAS;640-26    ;_1359-F-5510-21-1;SULFATO DE MANGANESO MONOHIDRATADO;MERCOAGRO GUATEMALA, S.A                                                                                                                              ;29/05/2026;Kilogramos;12000;China                                             ;China                                             ;Puerto Quetzal                                    ; $9,660.00 ; Q74,427.21 ; Q200.00 ;New China Fertilizers CO., LTD; 18.60, 31.80;S, Mn;MAGA
LICENCIAS;641-26    ;352-F-6736-33;YaraRega 13-4-25;YARA GUATEMALA, S.A                                                                                                                                   ;29/05/2026;Kilogramos;73600;Finlandia                                         ;Finlandia                                         ;Puerto Quetzal                                    ; $60,553.27 ; Q461,573.36 ; Q695.00 ;Yara Sourcing And Trade AS; 0.08, 0.08, 10.80, 0.60, 25.00, 4.00, 13.00;Zn, B, S, MgO, K2O, P2O5, N;MAGA
LICENCIAS;642-26    ;_1359-F-5505-21-1;SULFATO DE MAGNESIO HEPTAHIDRATADO;MERCOAGRO GUATEMALA, S.A                                                                                                                              ;29/05/2026;Kilogramos;80625;China                                             ;China                                             ;Puerto Quetzal                                    ; $22,413.75 ; Q172,690.77 ; Q405.00 ;New China Fertilizers CO., LTD; 15.50, 12.91;MgO, S;MAGA
LICENCIAS;643-26    ;_1359-F-5506-21-1;SULFATO DE ZINC HEPTAHIDRATADO;MERCOAGRO GUATEMALA, S.A                                                                                                                              ;29/05/2026;Kilogramos;15000;China                                             ;China                                             ;Puerto Quetzal                                    ; $12,525.00 ; Q96,501.12 ; Q230.00 ;New China Fertilizers CO., LTD; 10.50, 21.00;S, Zn;MAGA
PERMISOS;417-26    ;_285-39-9;2,4 - D TECNICO 98 %;DISTRIBUIDORA DE QUIMICOS AGRICOLAS, S.A                                                                                                              ;04/05/2026;Kilogramos;3000;China                                             ;China                                             ;Puerto Quetzal                                    ; $7,350.00 ; Q56,742.00 ; Q243.00 ;Rainbow Agrosciences (Central América) CO., LTD; 98.00; 2,4-D;MAGA
PERMISOS;418-26    ;_285-39-9;2,4 - D TECNICO 98 %;DISTRIBUIDORA DE QUIMICOS AGRICOLAS, S.A                                                                                                              ;04/05/2026;Kilogramos;21000;China                                             ;China                                             ;Puerto Quetzal                                    ; $51,450.00 ; Q397,194.00 ; Q627.00 ;Rainbow Agrosciences (Central América) CO., LTD; 98.00; 2,4-D;MAGA
PERMISOS;419-26    ;_646-13A-11;BIFENTHRIN  TECNICO 96%;OLEFINAS, S.A                                                                                                                                         ;05/05/2026;Kilogramos;1200;China                                             ;China                                             ;Puerto Santo Tomás de Castilla                    ; $422,214.10 ; Q3,225,154.18 ; Q1,455.00 ;Petrochem Limited Corp.; 96.00; Bifenthrin;MAGA
PERMISOS;420-26    ;_1020-1-12;NUTRISORB EXUROOT 27 SL;AGROFORESTA                                                                                                                                           ;06/05/2026;Litros    ;8320;México                                            ;México                                            ;Tecún Umán                                        ; $72,962.87 ; Q572,758.53 ; Q790.00 ;Innovak Global, S.A. de C.V.; 27.00; Acidos Carboxilicos;MAGA
PERMISOS;421-26    ;_1169-8-1;BEST ULTRA F 60 SL;CORTAZAR, S.A                                                                                                                                         ;06/05/2026;Litros    ;240;México                                            ;México                                            ;Tecún Umán                                        ; $4,664.26 ; Q35,617.55 ; Q125.00 ;Greencorp Biorganiks de México, S.A. de C.V.; 10.00, 50.00; Pseudomonadaceae fluorescens cepa Psfl-CP2, Bacillus subtilis cepa Bsu MCs;MAGA
PERMISOS;422-26    ;_1169-3-6;PESTILENT 28 EC;CORTAZAR, S.A                                                                                                                                         ;06/05/2026;Litros    ;1100;México                                            ;México                                            ;Tecún Umán                                        ; $27,228.98 ; Q207,927.84 ; Q440.00 ;Greencorp Biorganiks de México, S.A. de C.V.; 2.00, 12.00, 12.00, 1.00, 1.00; Acidos Grasos de origen Vegetal y Animal, Terpenos de Origen Vegetal, Aminoacidos, Alcaloides de Origen Vegetal, Sulfatos Compuestos Azufrados;MAGA
PERMISOS;423-26    ;302-257;Revus Opti 44 SC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;180;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $2,957.97 ; Q22,571.65 ; Q100.00 ;Syngenta Crop Protection AG; 4.00, 40.00; Mandipropamid, Chlorothalonil;MAGA
PERMISOS;424-26    ;302-321;UNIFORM 44.54 SE;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;110.4;Colombia                                          ;Estados Unidos                                    ;Puerto Barrios                                    ; $4,792.59 ; Q36,590.27 ; Q125.00 ;Syngenta Crop Protection AG; 12.37, 32.17; METALAXYL-M, Azoxystrobin;MAGA
PERMISOS;425-26    ;302-162A;RIDOMIL GOLD MZ 68 WP;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Kilogramos;2940;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $29,784.77 ; Q227,374.25 ; Q460.00 ;Syngenta Crop Protection AG; 4.00, 64.00; METALAXYL-M, Mancozeb;MAGA
PERMISOS;426-26    ;302-162A;RIDOMIL GOLD MZ 68 WP;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Kilogramos;5265;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $53,339.06 ; Q407,185.58 ; Q640.00 ;Syngenta Crop Protection AG; 4.00, 64.00; METALAXYL-M, Mancozeb;MAGA
PERMISOS;427-26    ;302-365;INCIPIO 20 SC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;384;Colombia                                          ;Inglaterra                                        ;Puerto Barrios                                    ; $38,938.53 ; Q297,253.23 ; Q530.00 ;Syngenta Crop Protection AG; 20.00; Isocycloseram;MAGA
PERMISOS;428-26    ;302-365;INCIPIO 20 SC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;2001.6;Colombia                                          ;Inglaterra                                        ;Puerto Barrios                                    ; $210,576.57 ; Q1,607,522.58 ; Q1,295.00 ;Syngenta Crop Protection AG; 20.00; Isocycloseram;MAGA
PERMISOS;429-26    ;302-162A;RIDOMIL GOLD MZ 68 WP;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Kilogramos;600;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $7,999.71 ; Q61,069.07 ; Q175.00 ;Syngenta Crop Protection AG; 4.00, 64.00; METALAXYL-M, Mancozeb;MAGA
PERMISOS;430-26    ;302-251B;CURYOM 55 EC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;7704;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $195,906.56 ; Q1,495,533.05 ; Q1,285.00 ;Syngenta Crop Protection AG; 5.00, 50.00; Lufenuron, Profenophos;MAGA
PERMISOS;431-26    ;302-126A;BRAVO 72 SC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;9600;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $76,568.59 ; Q584,517.72 ; Q820.00 ;Syngenta Crop Protection AG; 72.00; Chlorothalonil;MAGA
PERMISOS;432-26    ;302-126A;BRAVO 72 SC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;10404;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $82,981.21 ; Q633,471.09 ; Q865.00 ;Syngenta Crop Protection AG; 72.00; Chlorothalonil;MAGA
PERMISOS;433-26    ;302-126A;BRAVO 72 SC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;504;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $4,019.85 ; Q30,687.17 ; Q115.00 ;Syngenta Crop Protection AG; 72.00; Chlorothalonil;MAGA
PERMISOS;434-26    ;302-159A;MERTECT 50 SC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;1332;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $52,055.62 ; Q397,387.92 ; Q630.00 ;Syngenta Crop Protection AG; 50.00; Thiabendazole;MAGA
PERMISOS;435-26    ;302-273;Ampligo 15 SC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;240;Colombia                                          ;Francia                                           ;Puerto Barrios                                    ; $14,702.60 ; Q112,238.33 ; Q345.00 ;Syngenta Crop Protection AG; 10.00, 5.00; Chlorantraniliprole, Lambda- Cyhalothrin;MAGA
PERMISOS;436-26    ;302-164B;Sico 25 EC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;3000;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $37,284.50 ; Q284,626.52 ; Q520.00 ;Syngenta Crop Protection AG; 25.00; Difenoconazole;MAGA
PERMISOS;437-26    ;302-257;Revus Opti 44 SC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;1116;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $18,339.42 ; Q140,001.48 ; Q375.00 ;Syngenta Crop Protection AG; 4.00, 40.00; Mandipropamid, Chlorothalonil;MAGA
PERMISOS;438-26    ;302-332;Carial Flex 43 WG;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Kilogramos;376;Colombia                                          ;Francia                                           ;Puerto Barrios                                    ; $11,793.45 ; Q90,030.14 ; Q230.00 ;Syngenta Crop Protection AG; 25.00, 18.00; Mandipropamid, Cymoxanil;MAGA
PERMISOS;439-26    ;302-341B;MIRAVIS DUO 20 SC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;1716;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $53,160.46 ; Q406,075.21 ; Q640.00 ;Syngenta Crop Protection AG; 7.50, 12.50; Pydiflumetofen, Difenoconazole;MAGA
PERMISOS;440-26    ;302-341B;MIRAVIS DUO 20 SC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;4596;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $142,380.82 ; Q1,087,600.10 ; Q1,240.00 ;Syngenta Crop Protection AG; 7.50, 12.50; Pydiflumetofen, Difenoconazole;MAGA
PERMISOS;441-26    ;302-343;ORONDIS ULTRA 28  SC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;156;Colombia                                          ;Estados Unidos                                    ;Puerto Barrios                                    ; $10,888.71 ; Q83,175.26 ; Q220.00 ;Syngenta Crop Protection AG; 3.00, 25.00; Oxathiapiprolin, Mandipropamid;MAGA
PERMISOS;442-26    ;302-164B;Sico 25 EC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;3600;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $44,741.39 ; Q341,764.71 ; Q575.00 ;Syngenta Crop Protection AG; 25.00; Difenoconazole;MAGA
PERMISOS;443-26    ;302-243;DUAL GOLD 96 EC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;420;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $3,661.53 ; Q27,954.90 ; Q110.00 ;Syngenta Crop Protection AG; 96.00; S-Metolachlor;MAGA
PERMISOS;444-26    ;302-358;FORTENZA MAXX 38.25 FS;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;422.4;Colombia                                          ;Estados Unidos                                    ;Puerto Barrios                                    ; $21,767.51 ; Q166,189.71 ; Q400.00 ;Syngenta Crop Protection AG; 12.00, 1.00, 1.25, 24.00; Cyantraniliprole, Metalaxil-M, Fludioxonil, Thiamethoxam;MAGA
PERMISOS;445-26    ;302-252B;AMISTAR XTRA / PRIORI XTRA 28 SC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;1400;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $27,318.44 ; Q208,569.73 ; Q440.00 ;Syngenta Crop Protection AG; 8.00, 20.00; Cyproconazole, Azoxystrobin;MAGA
PERMISOS;446-26    ;302-159A;MERTECT 50 SC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;139.2;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $7,010.66 ; Q53,524.71 ; Q160.00 ;Syngenta Crop Protection AG; 50.00; Thiabendazole;MAGA
PERMISOS;447-26    ;302-164B;Sico 25 EC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;2600;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $32,313.23 ; Q246,703.76 ; Q480.00 ;Syngenta Crop Protection AG; 25.00; Difenoconazole;MAGA
PERMISOS;448-26    ;302-126B;BRAVONIL 72 SC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;2200;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $8,959.58 ; Q68,404.24 ; Q190.00 ;Syngenta Crop Protection AG; 72.00; Chlorothalonil;MAGA
PERMISOS;449-26    ;302-332;Carial Flex 43 WG;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Kilogramos;568;Colombia                                          ;Francia                                           ;Puerto Barrios                                    ; $17,815.64 ; Q136,018.14 ; Q370.00 ;Syngenta Crop Protection AG; 25.00, 18.00; Mandipropamid, Cymoxanil;MAGA
PERMISOS;450-26    ;302-126B;BRAVONIL 72 SC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;1200;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $4,887.04 ; Q37,311.38 ; Q130.00 ;Syngenta Crop Protection AG; 72.00; Chlorothalonil;MAGA
PERMISOS;451-26    ;302-273;Ampligo 15 SC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;206.4;Colombia                                          ;Francia                                           ;Puerto Barrios                                    ; $13,695.36 ; Q104,560.79 ; Q340.00 ;Syngenta Crop Protection AG; 10.00, 5.00; Chlorantraniliprole, Lambda- Cyhalothrin;MAGA
PERMISOS;452-26    ;302-273;Ampligo 15 SC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;288;Colombia                                          ;Francia                                           ;Puerto Barrios                                    ; $17,643.12 ; Q134,700.99 ; Q370.00 ;Syngenta Crop Protection AG; 10.00, 5.00; Chlorantraniliprole, Lambda- Cyhalothrin;MAGA
PERMISOS;453-26    ;302-250;FOLIO GOLD / RIDOMIL GOLD BRAVO 44 SC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;816;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $9,867.66 ; Q75,337.22 ; Q205.00 ;Syngenta Crop Protection AG; 40.00, 4.00; Chlorothalonil, METALAXYL-M;MAGA
PERMISOS;454-26    ;302-253A;KARATE ZEON 5 CS;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;360;Colombia                                          ;Bélgica                                           ;Puerto Barrios                                    ; $5,608.55 ; Q42,819.93 ; Q140.00 ;Syngenta Crop Protection AG; 5.00; Lambda- Cyhalothrin;MAGA
PERMISOS;455-26    ;302-126A;BRAVO 72 SC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;9108;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $72,644.45 ; Q554,334.54 ; Q785.00 ;Syngenta Crop Protection AG; 72.00; Chlorothalonil;MAGA
PERMISOS;456-26    ;302-251B;CURYOM 55 EC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;2124;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $54,011.62 ; Q412,151.33 ; Q645.00 ;Syngenta Crop Protection AG; 5.00, 50.00; Lufenuron, Profenophos;MAGA
PERMISOS;457-26    ;302-257;Revus Opti 44 SC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;5940;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $106,790.83 ; Q815,322.36 ; Q1,050.00 ;Syngenta Crop Protection AG; 4.00, 40.00; Mandipropamid, Chlorothalonil;MAGA
PERMISOS;458-26    ;302-267A;VERDADERO 60 WG;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Kilogramos;560;Colombia                                          ;Brasil                                            ;Puerto Barrios                                    ; $23,251.42 ; Q177,426.70 ; Q410.00 ;Syngenta Crop Protection AG; 30.00, 30.00; Thiamethoxam, Cyproconazole;MAGA
PERMISOS;459-26    ;302-246;SCORE 25 EC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;852;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $16,356.74 ; Q124,814.85 ; Q360.00 ;Syngenta Crop Protection AG; 25.00; Difenoconazole;MAGA
PERMISOS;460-26    ;302-269F;REFLECT  12.5  EC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;160;Colombia                                          ;Corea del Sur                                     ;Puerto Barrios                                    ; $3,463.65 ; Q26,430.39 ; Q105.00 ;Syngenta Crop Protection AG; 12.50; Isopyrazam;MAGA
PERMISOS;461-26    ;302-341A;MIRAVIS DUO 20 SC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;216;Colombia                                          ;Estados Unidos                                    ;Puerto Barrios                                    ; $4,695.69 ; Q35,831.82 ; Q123.00 ;Syngenta Crop Protection AG; 12.50, 7.50; Difenoconazole, Pydiflumetofen;MAGA
PERMISOS;462-26    ;302-250;FOLIO GOLD / RIDOMIL GOLD BRAVO 44 SC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;1740;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $21,041.33 ; Q160,561.97 ; Q395.00 ;Syngenta Crop Protection AG; 40.00, 4.00; Chlorothalonil, METALAXYL-M;MAGA
PERMISOS;463-26    ;302-252B;AMISTAR XTRA / PRIORI XTRA 28 SC;AGRO INSUMOS, S.A                                                                                                                                     ;07/05/2026;Litros    ;4640;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $90,541.11 ; Q690,900.20 ; Q925.00 ;Syngenta Crop Protection AG; 8.00, 20.00; Cyproconazole, Azoxystrobin;MAGA
